,annotator,cell,h,image,label,pk,w,x,y
0,tommy,75959,40,alt_59351.jpg,Schistocyte,3007,45,2183,1326
1,tommy,70553,40,alt_59591.jpg,Normal,3008,48,1615,968
2,tommy,40572,36,alt_62184.jpg,Normal,3009,37,1312,530
3,tommy,57384,55,alt_60381.jpg,Reject,3010,43,2592,1156
4,tommy,95179,47,alt_39177.jpg,Normal,3011,34,679,2826
5,tommy,56609,39,alt_60381.jpg,Reject,3012,42,1541,2468
6,tommy,30778,42,alt_62626.jpg,Normal,3013,39,1294,2040
7,tommy,56609,39,alt_60381.jpg,Reject,3014,42,1541,2468
8,tommy,67907,38,alt_60036.jpg,Normal,3015,37,2186,1158
9,tommy,55494,38,alt_61390.jpg,Normal,3016,44,1386,1518
10,tommy,38458,41,alt_62043.jpg,Normal,3017,41,708,357
11,tommy,67324,42,alt_60036.jpg,Normal,3018,37,217,2014
12,tommy,78848,40,alt_58500.jpg,Normal,3019,38,835,2620
13,tommy,32881,38,alt_62534.jpg,Echinocyte,3020,42,253,1574
14,tommy,95179,47,alt_39177.jpg,Normal,3021,34,679,2826
15,tommy,97479,64,alt_5294.jpg,Echinocyte,3022,56,1765,2324
16,tommy,57384,55,alt_60381.jpg,Echinocyte,3023,43,2592,1156
17,tommy,55494,38,alt_61390.jpg,Normal,3024,44,1386,1518
18,tommy,79956,41,alt_58500.jpg,Normal,3025,41,2232,1092
19,tommy,40597,40,alt_62184.jpg,Normal,3026,36,1084,502
20,tommy,78537,51,alt_52050.jpg,Reject,3027,40,2826,248
21,tommy,87292,41,alt_50220.jpg,Normal,3028,42,260,157
22,tommy,79409,38,alt_58500.jpg,Normal,3029,38,2505,1837
23,tommy,84402,32,alt_50487.jpg,Normal,3030,39,1973,1082
24,tommy,54885,39,alt_61390.jpg,Normal,3031,41,1957,2587
25,tommy,33764,42,alt_62534.jpg,Normal,3032,38,49,233
26,tommy,67069,33,alt_60036.jpg,Reject,3033,36,1530,2358
27,tommy,55494,38,alt_61390.jpg,Normal,3034,44,1386,1518
28,tommy,56645,44,alt_60381.jpg,Echinocyte,3035,39,1775,2415
29,tommy,88243,43,alt_49976.jpg,Normal,3036,43,633,1826
30,tommy,78823,39,alt_58500.jpg,Normal,3037,38,2649,2651
31,tommy,41342,62,alt_62261.jpg,Reject,3038,40,1999,2356
32,tommy,52914,35,alt_61270.jpg,Normal,3039,38,1143,2419
