,annotator,image,label,pk,x,y
0,rick,752602451HV_001.jpg,NORMAL,11,1602,664
1,rick,752602451HV_001.jpg,NORMAL,12,1642,597
2,rick,752602451HV_001.jpg,NORMAL,13,1664,652
3,rick,752602451HV_001.jpg,NORMAL,15,1551,728
4,rick,752602451HV_001.jpg,NORMAL,16,1551,679
5,rick,752602451HV_001.jpg,Elliptocyte,21,2033,2179
6,rick,752602451HV_001.jpg,NORMAL,26,2122,2494
7,rick,752602451HV_001.jpg,Elliptocyte,27,1104,2828
8,rick,752602451HV_001.jpg,Elliptocyte,29,2211,2402
9,rick,752602451HV_001.jpg,Elliptocyte,30,2476,2365
10,rick,752602451HV_001.jpg,NORMAL,31,861,1033
11,rick,752602451HV_001.jpg,NORMAL,32,794,1120
12,rick,752602451HV_001.jpg,NORMAL,33,714,1128
13,rick,752602451HV_001.jpg,NORMAL,34,734,1064
14,rick,752602451HV_001.jpg,NORMAL,35,440,1043
15,rick,752602451HV_001.jpg,NORMAL,36,628,1275
16,rick,752602451HV_001.jpg,NORMAL,37,428,1309
17,rick,752602451HV_001.jpg,NORMAL,38,403,1371
18,rick,752900792HV_001.jpg,Spherocyte,39,1747,1916
19,root,752602451HV_001.jpg,Spherocyte,54,1532,1398
20,rick,752602451HV_001.jpg,NORMAL,67,1538,762
21,rick,752602451HV_001.jpg,Elliptocyte,68,1851,1520
22,rick,752602451HV_001.jpg,Elliptocyte,69,1205,2046
23,rick,752900792HV_001.jpg,Spherocyte,70,1496,1708
24,rick,752900792HV_001.jpg,Spherocyte,71,422,1875
25,rick,752900792HV_001.jpg,Spherocyte,72,1354,884
26,rick,752200524HV_001.jpg,Dacrocyte,73,272,1875
27,rick,752200524HV_001.jpg,Dacrocyte,74,1795,330
28,rick,752200524HV_001.jpg,Schistocyte,75,2555,1875
29,rick,752200524HV_001.jpg,Schistocyte,76,2479,2326
30,rick,752200524HV_001.jpg,Schistocyte,77,338,2505
31,rick,752200524HV_001.jpg,Schistocyte,78,155,1058
