,annotator,image,label,pk,x,y
0,rick,Ecchinocyte,Echinocyte,2898,1524,2799
1,rick,Ecchinocyte,Echinocyte,2897,1074,2679
2,rick,Ecchinocyte,Acanthocyte,2896,810,809
3,rick,Ecchinocyte,Acanthocyte,2895,454,670
4,rick,Ecchinocyte,Acanthocyte,2894,653,417
5,rick,Ecchinocyte,Acanthocyte,2893,475,2162
6,rick,Ecchinocyte,Acanthocyte,2892,742,1960
7,rick,Ecchinocyte,Acanthocyte,2891,635,1637
8,rick,Ecchinocyte,Echinocyte,2890,1379,2000
9,rick,Ecchinocyte,Echinocyte,2889,1308,2036
10,rick,Ecchinocyte,Echinocyte,2888,1146,1845
11,rick,Ecchinocyte,Acanthocyte,2887,1139,2415
12,rick,Ecchinocyte,Acanthocyte,2886,1378,2342
13,rick,Ecchinocyte,Acanthocyte,2885,1712,2611
14,rick,Ecchinocyte,Acanthocyte,2884,2194,1898
15,rick,Ecchinocyte,Acanthocyte,2883,2093,2015
16,rick,Ecchinocyte,Echinocyte,2882,2406,1221
17,rick,Ecchinocyte,Echinocyte,2881,2694,810
18,rick,Ecchinocyte,Echinocyte,2880,1899,192
19,rick,Ecchinocyte,Echinocyte,2879,1536,229
20,rick,Ecchinocyte,Echinocyte,2878,1657,224
21,rick,Ecchinocyte,Echinocyte,2877,946,127
22,rick,Ecchinocyte,Echinocyte,2876,1211,1590
23,rick,Ecchinocyte,Echinocyte,2875,1247,1570
24,rick,Ecchinocyte,Echinocyte,2874,1008,2248
25,rick,Ecchinocyte,Echinocyte,2873,541,2306
26,rick,Ecchinocyte,Acanthocyte,2872,237,2602
27,rick,Ecchinocyte,Acanthocyte,2871,350,2585
28,rick,Ecchinocyte,Acanthocyte,2870,319,2741
29,rick,Ecchinocyte,Acanthocyte,2869,76,1629
30,rick,Ecchinocyte,Acanthocyte,2868,350,1476
31,rick,Ecchinocyte,Acanthocyte,2867,201,991
32,rick,Ecchinocyte,Acanthocyte,2866,352,305
33,rick,Ecchinocyte,Acanthocyte,2865,1344,182
34,rick,Ecchinocyte,Acanthocyte,2864,1697,73
35,rick,Ecchinocyte,Acanthocyte,2863,2757,983
36,rick,Ecchinocyte,Acanthocyte,2862,2152,1418
37,rick,Ecchinocyte,Acanthocyte,2861,2039,1302
