,annotator,image,label,pk,x,y
0,tommy,ERR20160320123115_001.jpg,Schistocyte,2201,72,1226
1,tommy,ERR20160320123115_001.jpg,Target cell,2200,295,964
2,tommy,ERR20160320123115_001.jpg,Target cell,2199,401,1388
3,rick,ERR20160320123115_001.jpg,Target cell,1338,1304,781
4,rick,ERR20160320123115_001.jpg,Target cell,1337,1286,899
5,rick,ERR20160320123115_001.jpg,Schistocyte,1336,408,332
6,rick,ERR20160320123115_001.jpg,Schistocyte,1335,1904,1342
7,rick,ERR20160320123115_001.jpg,Schistocyte,1334,1199,1219
8,rick,ERR20160320123115_001.jpg,Schistocyte,1333,77,1222
9,rick,ERR20160320123115_001.jpg,Spherocyte,1332,609,1818
10,rick,ERR20160320123115_001.jpg,Schistocyte,1331,2589,2309
11,rick,ERR20160320123115_001.jpg,Schistocyte,1330,2139,2262
12,rick,ERR20160320123115_001.jpg,Schistocyte,1329,1909,2300
13,rick,ERR20160320123115_001.jpg,Dacrocyte,1328,594,2337
14,rick,ERR20160320123115_001.jpg,Target cell,1327,98,2582
15,rick,ERR20160320123115_001.jpg,Target cell,1326,266,2756
16,rick,ERR20160320123115_001.jpg,Target cell,1325,251,2689
17,rick,ERR20160320123115_001.jpg,Target cell,1324,293,2675
18,rick,ERR20160320123115_001.jpg,Target cell,1323,410,2753
19,rick,ERR20160320123115_001.jpg,Target cell,1322,483,2732
20,rick,ERR20160320123115_001.jpg,Target cell,1321,537,2700
21,rick,ERR20160320123115_001.jpg,Target cell,1320,563,2613
22,rick,ERR20160320123115_001.jpg,Target cell,1319,1198,1969
23,rick,ERR20160320123115_001.jpg,Target cell,1318,1306,1431
24,rick,ERR20160320123115_001.jpg,Target cell,1317,1366,1608
25,rick,ERR20160320123115_001.jpg,Target cell,1316,1020,1653
26,rick,ERR20160320123115_001.jpg,Target cell,1315,884,1609
27,rick,ERR20160320123115_001.jpg,Target cell,1314,353,1292
28,rick,ERR20160320123115_001.jpg,Target cell,1313,169,993
29,rick,ERR20160320123115_001.jpg,Target cell,1312,208,449
30,rick,ERR20160320123115_001.jpg,Target cell,1311,262,125
31,rick,ERR20160320123115_001.jpg,Target cell,1310,96,232
32,rick,ERR20160320123115_001.jpg,Target cell,1309,200,272
33,rick,ERR20160320123115_001.jpg,Target cell,1308,292,373
34,rick,ERR20160320123115_001.jpg,Target cell,1307,656,162
35,rick,ERR20160320123115_001.jpg,Target cell,1306,1273,233
36,rick,ERR20160320123115_001.jpg,Target cell,1305,1250,70
37,rick,ERR20160320123115_001.jpg,Target cell,1304,1433,59
38,rick,ERR20160320123115_001.jpg,Target cell,1303,1539,72
39,rick,ERR20160320123115_001.jpg,Target cell,1302,2263,251
